org,data,model,infra,eval,score,rank,delta rank
BAAI,0.5,0.43067655807339306,0.5,1.0,0.5486716123700298,3,0
ShanghaiAILab,0.6309297535714575,0.38685280723454163,0.3562071871080222,0.6309297535714575,0.463104185992427,5,0
Baidu,0.31546487678572877,0.31546487678572877,0.43067655807339306,0.31546487678572877,0.3346668236670062,7,0
Baichuan,0.27023815442731974,0.27023815442731974,0.2890648263178879,0.31546487678572877,0.2809137201354826,12,0
Zhipu,0.3333333333333333,0.3562071871080222,0.2890648263178879,0.43067655807339306,0.35361604650811346,6,0
Ali,0.3562071871080222,0.6309297535714575,0.3333333333333333,0.31546487678572877,0.4829657763235762,4,0
Huawei,0.27894294565112987,0.2890648263178879,0.38685280723454163,0.31546487678572877,0.30807585143751065,11,0
LMSYS,0.3010299956639812,0.27894294565112987,0.31546487678572877,0.5,0.32555395156718325,9,0
Falcon,0.2890648263178879,0.3010299956639812,0.2890648263178879,0.38685280723454163,0.31134540781037684,10,0
EleutherAI,0.38685280723454163,0.3333333333333333,0.3010299956639812,0.31546487678572877,0.3338912799473753,8,0
Meta,0.43067655807339306,1.0,1.0,0.3333333333333333,0.7940016485677878,1,0
Google,1.0,0.5,0.6309297535714575,0.3562071871080222,0.5811894901132466,2,0
