org,num_operators,num_adapted_chips_operator_lib,num_adapted_frameworks_operator_lib,support_heterogeneous_training_frameworks,num_adapted_chips_frameworks,support_lifecycle,num_adapted_frameworks_ai_compiler,num_adapted_chips_ai_compiler,deep_learning_framework,num_adapted_chips_communication_lib,support_cross_chip_communication,support_heterogeneous_training_communication_lib
BAAI,170,10,2,1,8,4,1,4,0,3,1,1
ShanghaiAILab,0,7,2,0,2,4,0,0,0,0,0,0
Baidu,156,4,1,0,4,4,0,0,1,1,0,0
Baichuan,0,0,0,0,1,0,0,0,0,0,0,0
Zhipu,0,0,0,0,1,0,0,0,0,0,0,0
Ali,0,5,2,0,1,3,0,0,0,1,0,0
Huawei,0,4,1,0,1,4,0,0,1,1,0,0
LMSYS,0,0,0,0,1,4,0,0,0,0,0,0
Falcon,0,0,0,0,1,0,0,0,0,0,0,0
EleutherAI,0,0,0,0,1,2,0,0,0,0,0,0
Meta,170,30,1,0,20,4,0,0,1,0,0,0
Google,138,23,1,0,20,4,0,0,1,1,0,0
Deepseek,2,1,1,0,2,4,0,0,0,1,0,0
OpenBMB,0,0,0,0,1,4,0,0,0,0,0,0
01-AI,0,0,0,0,1,4,0,0,0,0,0,0
Ai2,0,0,0,0,1,4,0,0,0,0,0,0
OpenAI,21,1,2,0,2,4,1,2,1,0,0,0
Nvidia,3,1,2,0,2,4,0,0,0,1,0,0
Microsoft,2,1,1,1,2,4,0,0,1,1,0,0
Apple,0,0,0,0,1,3,0,0,1,0,0,0
HuggingFace,0,0,0,0,2,3,0,0,0,0,0,0
Princeton NLP,0,0,0,0,1,4,0,0,0,0,0,0
UKP Lab,0,0,0,0,1,4,0,0,0,0,0,0
